ts,magnitudes,longitude,latitude,,
2024/2/16 8:20:20.298,2.8,85.705,40.899,,
2024/2/16 7:30:20.453,2.6,78.529,41.008,,
2024/2/16 6:18:2.462,2.2,78.441,41.116,,
2024/2/16 5:49:18.973,3,92.568,44.859,,
2024/2/16 4:33:20.416,2,78.523,41.015,,
2024/2/16 4:30:33.635,1.9,77.002,39.62,,
2024/2/16 3:1:4.321,2.3,83.956,41.306,,
2024/2/16 2:58:15.075,2.8,78.457,40.992,,
2024/2/16 1:14:12.843,2.8,75.235,38.924,,
2024/2/15 23:58:46.29,2.3,78.922,41.376,,
2024/2/15 22:8:51.184,2.1,84.002,41.289,,
2024/2/15 20:17:41.037,3.7,78.816,41.261,,
2024/2/15 16:37:10.884,2.2,78.696,41.049,,
2024/2/15 15:30:53.771,2.2,78.483,40.97,,
2024/2/15 15:2:44.671,2,83.441,41.673,,
2024/2/15 13:14:21.499,2.1,78.503,40.947,,
2024/2/15 12:55:41.194,1.9,78.485,40.966,,
2024/2/15 12:37:51.408,1.9,78.434,41.004,,
2024/2/15 12:32:51.689,3.9,78.457,40.991,,
2024/2/15 11:57:29.863,3.1,85.402,42.281,,
2024/2/15 11:52:34.119,5.1,78.822,41.227,,
2024/2/15 11:41:24.576,4.2,78.552,41.025,,
2024/2/15 10:55:5.944,1.9,79.543,39.472,,
2024/2/15 10:2:15.302,2.1,78.373,40.95,,
2024/2/15 8:49:30.512,2.2,77.082,37.873,,
2024/2/15 8:39:49.782,2.5,81.347,35.56,,
2024/2/15 8:30:30.985,1.9,74.996,38.701,,
2024/2/15 8:27:4.304,3.1,84.239,40.907,,
2024/2/15 7:57:18.38,3.6,84.233,40.841,,
2024/2/15 7:49:46.832,2.2,78.788,41.33,,
2024/2/15 4:18:19.281,1.9,83.038,42.701,,
2024/2/15 4:4:32.763,2.7,83.685,41.233,,
2024/2/15 3:28:49.225,1.9,78.592,40.991,,
2024/2/15 2:53:15.096,3.2,78.755,41.238,,
2024/2/15 1:12:38.982,2.1,81.087,44.389,,
2024/2/15 1:6:14.136,2.1,78.86,41.346,,
2024/2/14 22:26:0.678,2.2,75.646,39.823,,
2024/2/14 20:51:4.305,2.3,78.51,40.991,,
2024/2/14 17:40:5.08,2.4,78.833,41.332,,
2024/2/14 16:37:11.772,3.1,78.701,41.192,,
2024/2/14 16:18:43.09,2.4,78.486,41.098,,
2024/2/14 12:29:39.312,2.6,77.65,39.642,,
2024/2/14 11:33:56.779,2,77.744,39.992,,
2024/2/14 10:46:42.956,3.3,83.833,41.389,,
2024/2/14 9:50:7.405,3,78.474,41.112,,
2024/2/14 9:37:59.642,2.2,78.778,41.332,,
2024/2/14 9:16:33.915,3.2,77.674,40.606,,
2024/2/14 6:58:56.077,2,83.841,41.152,,
2024/2/14 5:7:5.087,1.9,78.542,41.025,,
2024/2/14 4:17:40.51,3.3,80.942,42.071,,
2024/2/14 4:6:3.083,3.7,78.537,41.013,,
2024/2/14 3:10:20.768,4.4,77.65,39.643,,
2024/2/14 2:39:58.375,2,78.521,41.012,,
2024/2/13 22:20:40.381,2.3,78.815,41.3,,
2024/2/13 22:8:54.55,2.9,78.385,41.034,,
2024/2/13 22:7:34.721,2.6,78.891,41.346,,
2024/2/13 17:50:22.233,2,82.3,41.822,,
2024/2/13 17:20:3.518,3.3,83.944,44.217,,
2024/2/13 14:57:45.327,2.5,78.548,41.038,,
2024/2/13 11:17:1.901,2.8,78.659,41.172,,
2024/2/13 10:37:16.202,3,81.976,39.986,,
2024/2/13 10:30:49.123,2,78.605,41.054,,
2024/2/13 9:44:37.459,2.3,78.866,41.235,,
2024/2/13 9:38:51.313,2.8,78.617,41.084,,
2024/2/13 7:27:14.069,1.8,78.726,41.259,,
2024/2/13 5:8:59.773,2.2,78.136,36.026,,
2024/2/13 3:10:40.295,2,78.752,41.299,,
2024/2/13 2:57:7.739,2.2,83.563,41.354,,
2024/2/13 1:29:37.376,2.1,78.502,40.99,,
2024/2/13 0:57:13.748,2.3,78.8,41.286,,
2024/2/13 0:42:15.944,2.2,78.705,41.254,,
2024/2/12 23:52:49.047,4.3,78.722,41.249,,
2024/2/12 23:49:51.688,2.6,78.741,41.237,,
2024/2/12 21:46:42.914,2,79.416,40.546,,
2024/2/12 21:24:10.61,1.9,80.394,35.735,,
2024/2/12 17:52:6.546,2.5,78.661,41.176,,
2024/2/12 17:47:20.084,3.1,78.657,41.146,,
2024/2/12 17:28:37.292,3.5,83.421,41.152,,
2024/2/12 16:32:53.791,2.8,78.471,41.107,,
2024/2/12 16:10:49.895,1.9,88.203,43.101,,
2024/2/12 15:37:33.254,1.9,78.849,37.17,,
2024/2/12 12:57:1.829,2,78.607,41.099,,
2024/2/12 12:20:25.915,2.7,83.418,40.503,,
2024/2/12 11:24:14.419,2.1,78.593,41.075,,
2024/2/12 10:51:37.141,2.7,78.484,40.946,,
2024/2/12 10:17:53.28,2,78.79,41.331,,
2024/2/12 9:39:4.309,2.7,78.457,40.991,,
2024/2/12 7:50:44.851,2.4,83.89,36.57,,
2024/2/12 7:14:57.236,2,78.86,41.353,,
2024/2/12 6:49:20.873,2.2,78.642,41.079,,
2024/2/12 6:28:56.624,2,78.928,41.41,,
2024/2/12 5:45:32.907,2.2,78.695,41.099,,
2024/2/12 4:33:35.893,3.2,78.593,41.066,,
2024/2/12 3:49:10.251,2.2,78.802,41.196,,
2024/2/12 3:10:39.204,2.1,78.582,41.097,,
2024/2/12 2:41:32.331,3.6,78.51,40.998,,
2024/2/12 2:1:22.086,1.9,87.263,42.429,,
2024/2/12 0:54:54.427,2,83.567,41.993,,
2024/2/12 0:48:55.764,2.7,78.617,41.146,,
2024/2/12 0:48:51.397,2,90.147,46.102,,
2024/2/12 0:2:4.608,2,81.011,42.206,,
2024/2/11 23:56:25.8,2.6,78.646,41.091,,
2024/2/11 22:29:20.722,1.9,78.801,41.272,,
2024/2/11 22:22:55.292,2.4,78.632,41.16,,
2024/2/11 22:2:2.63,1.9,83.503,41.904,,
2024/2/11 20:22:5.74,3.6,78.743,41.152,,
2024/2/11 17:18:16.854,2.4,83.749,40.983,,
2024/2/11 16:49:42.148,2,78.649,41.142,,
2024/2/11 15:13:35.971,2.5,78.624,41.188,,
2024/2/11 15:11:6.545,2.3,78.642,41.163,,
2024/2/11 14:16:58.797,2,78.624,41.176,,
2024/2/11 13:46:2.377,2,81.28,44.259,,
2024/2/11 13:24:39.889,3.7,83.033,40.018,,
2024/2/11 13:19:37.507,2,78.669,41.123,,
2024/2/11 13:13:20.32,2.4,78.659,41.149,,
2024/2/11 12:57:2.201,4.9,78.662,41.146,,
2024/2/11 12:25:50.905,2,78.8,41.261,,
2024/2/11 11:34:53.304,1.9,78.709,41.244,,
2024/2/11 11:3:33.69,3.9,78.655,41.165,,
2024/2/11 11:1:16.119,2.9,78.656,41.173,,
2024/2/11 10:53:14.468,3.2,78.548,41.032,,
2024/2/11 9:13:58.545,2.6,87.696,44.176,,
2024/2/11 7:57:22.164,2.5,83.739,41.198,,
2024/2/11 7:52:53.129,2.3,78.609,41.085,,
2024/2/11 6:47:52.266,1.9,78.809,41.26,,
2024/2/11 6:5:10.611,2.1,84.348,45.513,,
